"Datasets 1544 of 2067","Tissue","Disease","Assay","Organism","Cells",""
"snRNA-seq of human subcutaneous adipose tissue - adipocytes SCT normalization Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","subcutaneous adipose tissue","normal","10x 3' v3","Homo sapiens","11,265","Download Explore"
"Immune Response mechanisms in the cerebrospinal fluid in leptomeningeal disease at single cell resolution Immune Response mechanisms in the cerebrospinal fluid in leptomeningeal disease at single cell resolution","cerebrospinal fluid","4 diseases","10x 5' v2","Homo sapiens","72,695","Download Explore"
"progressive_plasticity_during_crc_metastasis_untreated_epithelial Progressive plasticity during colorectal cancer metastasis","4 tissues","colorectal cancer normal","10x 3' v3","Homo sapiens","13,843","Download Explore"
"progressive_plasticity_during_crc_metastasis_kg182_tumor Progressive plasticity during colorectal cancer metastasis","3 tissues","colorectal cancer","10x 3' v3","Homo sapiens","935","Download Explore"
"progressive_plasticity_during_crc_metastasis_epithelial Progressive plasticity during colorectal cancer metastasis","10 tissues","colorectal cancer normal","10x 3' v3","Homo sapiens","47,107","Download Explore"
"progressive_plasticity_during_crc_metastasis_kg183_tumor Progressive plasticity during colorectal cancer metastasis","liver sigmoid colon","colorectal cancer","10x 3' v3","Homo sapiens","1,203","Download Explore"
"progressive_plasticity_during_crc_metastasis_tumor Progressive plasticity during colorectal cancer metastasis","10 tissues","colorectal cancer","10x 3' v3","Homo sapiens","26,086","Download Explore"
"progressive_plasticity_during_crc_metastasis_kg146_tumor Progressive plasticity during colorectal cancer metastasis","3 tissues","colorectal cancer","10x 3' v3","Homo sapiens","3,351","Download Explore"
"progressive_plasticity_during_crc_metastasis_kg150_tumor Progressive plasticity during colorectal cancer metastasis","liver sigmoid colon","colorectal cancer","10x 3' v3","Homo sapiens","2,574","Download Explore"
"progressive_plasticity_during_crc_metastasis_non-tumor_epithelial Progressive plasticity during colorectal cancer metastasis","6 tissues","colorectal cancer normal","10x 3' v3","Homo sapiens","21,026","Download Explore"
"Reintegrated transcriptomes of Delta pancreatic islet cells A pancreatic islet scRNA-seq atlas from 48 non-diabetic, prediabetic and type 2 diabetic individuals of matched demographic and ethnic backgrounds","islet of Langerhans","normal 2 diseases","10x 3' v2 10x 3' v3","Homo sapiens","10,770","Download Explore"
"Reintegrated transcriptomes of Alpha pancreatic islet cells A pancreatic islet scRNA-seq atlas from 48 non-diabetic, prediabetic and type 2 diabetic individuals of matched demographic and ethnic backgrounds","islet of Langerhans","normal 2 diseases","10x 3' v2 10x 3' v3","Homo sapiens","74,812","Download Explore"
"Integrated transcriptomes of the 14 pancreatic islet cell types A pancreatic islet scRNA-seq atlas from 48 non-diabetic, prediabetic and type 2 diabetic individuals of matched demographic and ethnic backgrounds","islet of Langerhans","normal 2 diseases","10x 3' v2 10x 3' v3","Homo sapiens","245,878","Download Explore"
"Reintegrated transcriptomes of Beta pancreatic islet cells A pancreatic islet scRNA-seq atlas from 48 non-diabetic, prediabetic and type 2 diabetic individuals of matched demographic and ethnic backgrounds","islet of Langerhans","normal 2 diseases","10x 3' v2 10x 3' v3","Homo sapiens","99,029","Download Explore"
"Integrated cancer cell-specific single-cell RNA-seq datasets of immune checkpoint blockade-treated patients Integrated cancer cell-specific single-cell RNA-seq datasets of immune checkpoint blockade-treated patients","14 tissues","10 diseases","4 assays","Homo sapiens","355,941","Download Explore"
"Human Craniofacial Expression All Celltypes Gene expression patterns of the developing human and mouse face at single cell resolution","pharyngeal arch system","normal","10x multiome","Homo sapiens","95,892","Download Explore"
"Human Craniofacial Expression Mesenchymal Celltypes Gene expression patterns of the developing human and mouse face at single cell resolution","pharyngeal arch system","normal","10x multiome","Homo sapiens","58,417","Download Explore"
"Human Craniofacial Expression Ectodermal Celltypes Gene expression patterns of the developing human and mouse face at single cell resolution","pharyngeal arch system","normal","10x multiome","Homo sapiens","9,652","Download Explore"
"Human Craniofacial Expression Cranial Neural Crest Gene expression patterns of the developing human and mouse face at single cell resolution","cranial neural crest","normal","10x multiome","Homo sapiens","3,294","Download Explore"
"organoid A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease","lung (organoid)","normal","10x 5' v1","Homo sapiens","9,619","Download Explore"
"Honeycomb-rep1 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","HIVE CLX Single-Cell RNAseq Solution","Homo sapiens","7,750","Download Explore"
"Fluent-rep1 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","particle-templated instant partition sequencing","Homo sapiens","7,750","Download Explore"
"10X_FRP-rep1 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","10x gene expression flex","Homo sapiens","7,750","Download Explore"
"10X_3-rep2 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","10x 3' v3","Homo sapiens","7,750","Download Explore"
"Parse-rep1 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","Parse Evercode Whole Transcriptome v2","Homo sapiens","7,750","Download Explore"
"Scipio-rep2 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","Asteria scRNA-seq kit","Homo sapiens","4,425","Download Explore"
"10X_FRP-rep2 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","10x gene expression flex","Homo sapiens","7,750","Download Explore"
"Fluent-rep3 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","particle-templated instant partition sequencing","Homo sapiens","7,750","Download Explore"
"Honeycomb-rep2 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","HIVE CLX Single-Cell RNAseq Solution","Homo sapiens","7,750","Download Explore"
"10X_5-rep1 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","10x 5' v2","Homo sapiens","7,750","Download Explore"
"10X_3-rep1 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","10x 3' v3","Homo sapiens","7,750","Download Explore"
"10X_5-rep2 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","10x 5' v2","Homo sapiens","7,750","Download Explore"
"Fluent-rep2 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","particle-templated instant partition sequencing","Homo sapiens","7,750","Download Explore"
"BD-rep2 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","BD Rhapsody Whole Transcriptome Analysis","Homo sapiens","7,750","Download Explore"
"Scipio-rep1 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","Asteria scRNA-seq kit","Homo sapiens","3,457","Download Explore"
"BD-rep1 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","BD Rhapsody Whole Transcriptome Analysis","Homo sapiens","7,750","Download Explore"
"harmony_integrated_data Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","9 assays","Homo sapiens","124,132","Download Explore"
"Scale-rep1 Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies","blood","normal","ScaleBio single cell RNA sequencing","Homo sapiens","7,750","Download Explore"
"snMultiome data of the developing human neocortex Molecular and cellular dynamics of the developing human neocortex at single-cell resolution","8 tissues","normal","10x multiome","Homo sapiens","232,328","Download Explore"
"Single cell RNA sequencing of oropharyngeal squamous cell carcinoma Characterisation of human papillomavirus (HPV)-positive (immune hot) and HPV-negative (immune cold) head and neck tumors by single cell RNA sequencing","oropharynx","normal oropharynx squamous cell carcinoma","10x 3' v3","Homo sapiens","82,844","Download Explore"
"Fallopian tube samples from pre- and post-menopausal humans A cell atlas of the human fallopian tube throughout the menstrual cycle and menopause","ampulla of fallopian tube fimbria of fallopian tube","normal","10x 3' v3 Drop-seq","Homo sapiens","131,218","Download Explore"
"Adult bladder urothelial subset Exploring the Utility of snRNA-seq in Profiling Human Bladder Tissue: A Comprehensive Comparison with scRNA-seq","urinary bladder","normal","10x 3' v3","Homo sapiens","14,776","Download Explore"
"Adult bladder immune subset Exploring the Utility of snRNA-seq in Profiling Human Bladder Tissue: A Comprehensive Comparison with scRNA-seq","urinary bladder","normal","10x 3' v3","Homo sapiens","2,094","Download Explore"
"Adult bladder stromal subset Exploring the Utility of snRNA-seq in Profiling Human Bladder Tissue: A Comprehensive Comparison with scRNA-seq","urinary bladder","normal","10x 3' v3","Homo sapiens","12,964","Download Explore"
"Mucosal Atlas Human Oral and Craniofacial Cell Atlas","5 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","87,000","Download Explore"
"Major Salivary Gland Atlas Human Oral and Craniofacial Cell Atlas","parotid gland submandibular gland","normal","10x 3' v3","Homo sapiens","18,772","Download Explore"
"Minor Salivary Gland Atlas Human Oral and Craniofacial Cell Atlas","minor salivary gland","normal","10x 3' v3","Homo sapiens","31,468","Download Explore"
"Gland Immune Atlas Human Oral and Craniofacial Cell Atlas","3 tissues","normal","10x 3' v3","Homo sapiens","6,362","Download Explore"
"Oral and Craniofacial Atlas Human Oral and Craniofacial Cell Atlas","12 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","246,103","Download Explore"
"Gland Atlas Human Oral and Craniofacial Cell Atlas","3 tissues","normal","10x 3' v3","Homo sapiens","50,240","Download Explore"
"Palate Atlas Human Oral and Craniofacial Cell Atlas","hard palate soft palate","normal","10x 3' v3","Homo sapiens","9,263","Download Explore"
"Mucosal Immune Atlas Human Oral and Craniofacial Cell Atlas","4 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","23,064","Download Explore"
"Transcriptomic Analysis of Air-Liquid Interface Culture in Human Lung Organoids Reveals Regulators of Epithelial Differentiation Transcriptomic Analysis of Air-Liquid Interface Culture in Human Lung Organoids Reveals Regulators of Epithelial Differentiation","epithelial cell of lung (primary cell culture) lung (organoid)","normal","10x 3' v3","Homo sapiens","15,806","Download Explore"
"Buccal and Labial Atlas Human Oral and Craniofacial Cell Atlas","buccal mucosa mucosa of lip","normal","10x 3' v3","Homo sapiens","29,478","Download Explore"
"Pulp Atlas Human Oral and Craniofacial Cell Atlas","dental pulp","normal","10x 3' v2 10x 3' v3","Homo sapiens","50,927","Download Explore"
"Lamp5 - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD) SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas","dorsolateral prefrontal cortex","dementia normal","10x 3' v3 10x multiome","Homo sapiens","55,968","Download Explore"
"L5 IT - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD) SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas","middle temporal gyrus","dementia normal","10x 3' v3 10x multiome","Homo sapiens","128,090","Download Explore"
"Oligodendrocyte - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD) SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas","dorsolateral prefrontal cortex","dementia normal","10x 3' v3 10x multiome","Homo sapiens","145,995","Download Explore"
"Endothelial - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD) SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas","middle temporal gyrus","dementia normal","10x 3' v3 10x multiome","Homo sapiens","2,069","Download Explore"
"L5 ET - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD) SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas","middle temporal gyrus","dementia normal","10x 3' v3 10x multiome","Homo sapiens","2,590","Download Explore"
